Year,Month_AR,Month_EN,Service_AR,Service_EN,Confiscated food and health products(kg)
2015.0,فبراير,February,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,258.0
2015.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1214.0
2015.0,مايو,May,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1000.0
2015.0,ديسيمبر,December,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,50.0
2016.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2016.0,فبراير,February,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1759.5
2016.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,3090.0
2016.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,30.0
2016.0,اغسطس,August,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2016.0,ديسيمبر,December,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2017.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,98.0
2017.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,172.0
2018.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,11166.0
2018.0,مارس,March,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,896.0
2018.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,13899.0
2018.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,455.0
2018.0,سبتمبر,September,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,21915.0
2019.0,فبراير,February,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,70.0
2019.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,5576.0
2019.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2020.0,اغسطس,August,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,177.75
2020.0,سبتمبر,September,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,5426.2
2021.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1780.0
2021.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1711.45
2021.0,مايو,May,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,8879.0
2021.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,500.0
2022.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,111.45
2022.0,يونيو,June,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,6830.0
2022.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,7549.2
2015.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,393.5
2015.0,مارس,March,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1186.3
2015.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2015.0,سبتمبر,September,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,280.0
2015.0,اكتوبر,October,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1453.0
2015.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,7.0
2016.0,مايو,May,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,5000.0
2016.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
