Year,Month_AR,Month_EN,Service _AR,Service_EN,Number of Exporting Certificates  
2015.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,350.0
2015.0,اغسطس,August,شهادات صلاحية التصدير,Exporting Certificates,358.0
2016.0,فبراير,February,شهادات صلاحية التصدير,Exporting Certificates,382.0
2016.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,364.0
2016.0,يونيو,June,شهادات صلاحية التصدير,Exporting Certificates,414.0
2016.0,اغسطس,August,شهادات صلاحية التصدير,Exporting Certificates,512.0
2017.0,يناير,January,شهادات صلاحية التصدير,Exporting Certificates,440.0
2017.0,مايو,May,شهادات صلاحية التصدير,Exporting Certificates,407.0
2017.0,اغسطس,August,شهادات صلاحية التصدير,Exporting Certificates,491.0
2017.0,ديسيمبر,December,شهادات صلاحية التصدير,Exporting Certificates,307.0
2018.0,سبتمبر,September,شهادات صلاحية التصدير,Exporting Certificates,412.0
2019.0,ابريل,April,شهادات صلاحية التصدير,Exporting Certificates,363.0
2019.0,يونيو,June,شهادات صلاحية التصدير,Exporting Certificates,247.0
2019.0,يوليو,July,شهادات صلاحية التصدير,Exporting Certificates,329.0
2019.0,سبتمبر,September,شهادات صلاحية التصدير,Exporting Certificates,328.0
2020.0,يناير,January,شهادات صلاحية التصدير,Exporting Certificates,332.0
2020.0,ابريل,April,شهادات صلاحية التصدير,Exporting Certificates,170.0
2020.0,مايو,May,شهادات صلاحية التصدير,Exporting Certificates,126.0
2020.0,نوفمبر,November,شهادات صلاحية التصدير,Exporting Certificates,271.0
2021.0,يناير,January,شهادات صلاحية التصدير,Exporting Certificates,322.0
2021.0,فبراير,February,شهادات صلاحية التصدير,Exporting Certificates,331.0
2021.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,319.0
2021.0,يونيو,June,شهادات صلاحية التصدير,Exporting Certificates,194.0
2022.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,198.0
2022.0,ابريل,April,شهادات صلاحية التصدير,Exporting Certificates,156.0
2022.0,نوفمبر,November,شهادات صلاحية التصدير,Exporting Certificates,243.0
2023.0,فبراير,February,شهادات صلاحية التصدير,Exporting Certificates,239.0
2023.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,273.0
2015.0,مايو,May,شهادات صلاحية التصدير,Exporting Certificates,317.0
2015.0,يونيو,June,شهادات صلاحية التصدير,Exporting Certificates,301.0
2015.0,يوليو,July,شهادات صلاحية التصدير,Exporting Certificates,316.0
2015.0,اكتوبر,October,شهادات صلاحية التصدير,Exporting Certificates,332.0
2015.0,نوفمبر,November,شهادات صلاحية التصدير,Exporting Certificates,338.0
2015.0,ديسيمبر,December,شهادات صلاحية التصدير,Exporting Certificates,250.0
2016.0,مايو,May,شهادات صلاحية التصدير,Exporting Certificates,414.0
2016.0,سبتمبر,September,شهادات صلاحية التصدير,Exporting Certificates,270.0
2016.0,اكتوبر,October,شهادات صلاحية التصدير,Exporting Certificates,495.0
