Year,Month_AR,Month_EN,Service_AR,Service_EN,Category_AR,Category_EN,Number of Certificates of Health
2015.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,316.0
2015.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,6.0
2015.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2016.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,364.0
2016.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,495.0
2016.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,2.0
2016.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2017.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2018.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,312.0
2018.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,335.0
2018.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2018.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,1.0
2018.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,3.0
2019.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,363.0
2019.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,250.0
2019.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,365.0
2020.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,215.0
2020.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,1.0
2021.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,322.0
2021.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,331.0
2021.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,194.0
2021.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,203.0
2021.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,216.0
2022.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2022.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2015.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,350.0
2015.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,301.0
2015.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,298.0
2015.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,2.0
2015.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,4.0
2015.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,6.0
2016.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,255.0
2016.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,0.0
2016.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,4.0
2016.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2016.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2017.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,440.0
2017.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,425.0
2018.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,276.0
2018.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,412.0
2018.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2018.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,7.0
2018.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,1.0
2019.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,328.0
2019.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,332.0
2019.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,2.0
2020.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,332.0
2020.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,213.0
2020.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,209.0
2020.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,2.0
2020.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2020.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2020.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2020.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,1.0
2020.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,2.0
2021.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,186.0
2021.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,151.0
2021.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2021.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2021.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2021.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2021.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2021.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2022.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,198.0
2022.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,139.0
2022.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,175.0
2022.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,181.0
2022.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,243.0
2015.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,135.0
2015.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,270.0
2015.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,338.0
2015.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2015.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,4.0
2015.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,3.0
2016.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,334.0
2016.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,331.0
2016.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,414.0
2016.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,270.0
2016.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,7.0
2016.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2016.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2017.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,476.0
2017.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,491.0
2017.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,426.0
2017.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,307.0
2017.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2017.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2017.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2018.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,323.0
2018.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,324.0
2018.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,408.0
2018.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,341.0
2018.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,353.0
2018.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2018.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2018.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,3.0
2019.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,386.0
2019.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,372.0
2019.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,329.0
2019.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,3.0
2019.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,6.0
2019.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,4.0
2019.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,4.0
2019.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,4.0
2019.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,1.0
2019.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,1.0
2019.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,2.0
2020.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,237.0
2020.0,مارس,March,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,321.0
2020.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,228.0
2020.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,271.0
2020.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,350.0
2020.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2020.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2021.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,141.0
2021.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2021.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2021.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,2.0
2021.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2022.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,211.0
2022.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,194.0
2022.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,2.0
2022.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2022.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2022.0,سبتمبر,September,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2023.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,185.0
2015.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,329.0
2015.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,317.0
2015.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,358.0
2015.0,اكتوبر,October,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,332.0
2015.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,250.0
2015.0,يوليو,July,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,4.0
2015.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2015.0,نوفمبر,November,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,8.0
2015.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,6.0
2016.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,382.0
2016.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,414.0
2016.0,اغسطس,August,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,512.0
2016.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,0.0
2016.0,يناير,January,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,5.0
2016.0,مايو,May,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2016.0,يونيو,June,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2016.0,ديسيمبر,December,شهادات صحية,Certificates of Health,شهادات صحية بيطرية,Veterinary CoH issued,0.0
2017.0,فبراير,February,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,390.0
2017.0,ابريل,April,شهادات صحية,Certificates of Health,شهادات صحية تصدير,Export CoH issued,394.0
