Year,Month_AR,Month_EN,Service_AR,Service_EN,Number of Shops Visited
2015.0,اغسطس,August,محلات تم زيارتها,Shops Visited,2409.0
2016.0,يناير,January,محلات تم زيارتها,Shops Visited,1834.0
2016.0,مارس,March,محلات تم زيارتها,Shops Visited,1645.0
2016.0,سبتمبر,September,محلات تم زيارتها,Shops Visited,1898.0
2016.0,ديسيمبر,December,محلات تم زيارتها,Shops Visited,1881.0
2017.0,مارس,March,محلات تم زيارتها,Shops Visited,2484.0
2017.0,نوفمبر,November,محلات تم زيارتها,Shops Visited,1350.0
2018.0,مارس,March,محلات تم زيارتها,Shops Visited,1695.0
2018.0,ابريل,April,محلات تم زيارتها,Shops Visited,2572.0
2018.0,سبتمبر,September,محلات تم زيارتها,Shops Visited,2589.0
2021.0,سبتمبر,September,محلات تم زيارتها,Shops Visited,1568.0
2021.0,اكتوبر,October,محلات تم زيارتها,Shops Visited,761.0
2021.0,نوفمبر,November,محلات تم زيارتها,Shops Visited,620.0
2022.0,مارس,March,محلات تم زيارتها,Shops Visited,1024.0
2022.0,مايو,May,محلات تم زيارتها,Shops Visited,313.0
2022.0,يونيو,June,محلات تم زيارتها,Shops Visited,794.0
2022.0,سبتمبر,September,محلات تم زيارتها,Shops Visited,676.0
2022.0,نوفمبر,November,محلات تم زيارتها,Shops Visited,401.0
2015.0,اكتوبر,October,محلات تم زيارتها,Shops Visited,2119.0
2015.0,نوفمبر,November,محلات تم زيارتها,Shops Visited,2177.0
2016.0,فبراير,February,محلات تم زيارتها,Shops Visited,2479.0
2016.0,ابريل,April,محلات تم زيارتها,Shops Visited,2110.0
2016.0,نوفمبر,November,محلات تم زيارتها,Shops Visited,1913.0
2017.0,يناير,January,محلات تم زيارتها,Shops Visited,2395.0
2017.0,فبراير,February,محلات تم زيارتها,Shops Visited,2347.0
2018.0,اغسطس,August,محلات تم زيارتها,Shops Visited,1868.0
2018.0,ديسيمبر,December,محلات تم زيارتها,Shops Visited,748.0
2019.0,مايو,May,محلات تم زيارتها,Shops Visited,1316.0
2019.0,اغسطس,August,محلات تم زيارتها,Shops Visited,2264.0
2020.0,ابريل,April,محلات تم زيارتها,Shops Visited,1810.0
2020.0,يوليو,July,محلات تم زيارتها,Shops Visited,892.0
2021.0,مارس,March,محلات تم زيارتها,Shops Visited,1109.0
2021.0,ابريل,April,محلات تم زيارتها,Shops Visited,1111.0
2021.0,اغسطس,August,محلات تم زيارتها,Shops Visited,1199.0
2022.0,اغسطس,August,محلات تم زيارتها,Shops Visited,890.0
2022.0,اكتوبر,October,محلات تم زيارتها,Shops Visited,563.0
2022.0,ديسيمبر,December,محلات تم زيارتها,Shops Visited,483.0
2015.0,يناير,January,محلات تم زيارتها,Shops Visited,1848.0
2015.0,فبراير,February,محلات تم زيارتها,Shops Visited,1394.0
2015.0,مارس,March,محلات تم زيارتها,Shops Visited,1504.0
2015.0,ابريل,April,محلات تم زيارتها,Shops Visited,1785.0
2015.0,مايو,May,محلات تم زيارتها,Shops Visited,2016.0
2015.0,يوليو,July,محلات تم زيارتها,Shops Visited,1488.0
2016.0,يونيو,June,محلات تم زيارتها,Shops Visited,2122.0
2016.0,اكتوبر,October,محلات تم زيارتها,Shops Visited,1474.0
2017.0,مايو,May,محلات تم زيارتها,Shops Visited,841.0
2017.0,يونيو,June,محلات تم زيارتها,Shops Visited,549.0
2017.0,يوليو,July,محلات تم زيارتها,Shops Visited,256.0
2017.0,اغسطس,August,محلات تم زيارتها,Shops Visited,1379.0
2017.0,سبتمبر,September,محلات تم زيارتها,Shops Visited,1680.0
2018.0,يونيو,June,محلات تم زيارتها,Shops Visited,2039.0
2018.0,يوليو,July,محلات تم زيارتها,Shops Visited,2271.0
