Year,Month_AR,Month_EN,Service_AR,Service_EN,Category_EN,Category_AR,Number Of Violations And Cleanliness Issued By Waste Management &Public Higiene Sec
2021.0,ديسيمبر,December,مخالفات,Fines,Companies,الشركات,70.0
2021.0,اكتوبر,October,مخالفات,Fines,Vehicles,المركبات,6.0
2015.0,يوليو,July,إنذارات,Warnings,Companies,الشركات,38.0
2015.0,نوفمبر,November,إنذارات,Warnings,Companies,الشركات,47.0
2015.0,ديسيمبر,December,إنذارات,Warnings,Companies,الشركات,26.0
2015.0,مايو,May,إنذارات,Warnings,Vehicles,المركبات,3.0
2015.0,يوليو,July,إنذارات,Warnings,Vehicles,المركبات,0.0
2015.0,اكتوبر,October,إنذارات,Warnings,Vehicles,المركبات,0.0
2015.0,نوفمبر,November,إنذارات,Warnings,Vehicles,المركبات,0.0
2015.0,ابريل,April,مخالفات,Fines,Companies,الشركات,145.0
2015.0,مايو,May,مخالفات,Fines,Companies,الشركات,83.0
2015.0,نوفمبر,November,مخالفات,Fines,Companies,الشركات,95.0
2015.0,ديسيمبر,December,مخالفات,Fines,Companies,الشركات,50.0
2015.0,يناير,January,مخالفات,Fines,Vehicles,المركبات,4.0
2015.0,ابريل,April,مخالفات,Fines,Vehicles,المركبات,8.0
2015.0,مايو,May,مخالفات,Fines,Vehicles,المركبات,5.0
2015.0,ابريل,April,مخالفات,Fines,Personal,الأفراد,1.0
2015.0,يونيو,June,مخالفات,Fines,Personal,الأفراد,4.0
2016.0,يناير,January,إنذارات,Warnings,Companies,الشركات,63.0
2016.0,يوليو,July,إنذارات,Warnings,Companies,الشركات,4.0
2016.0,سبتمبر,September,إنذارات,Warnings,Companies,الشركات,11.0
2016.0,يناير,January,إنذارات,Warnings,Vehicles,المركبات,0.0
2016.0,فبراير,February,إنذارات,Warnings,Vehicles,المركبات,0.0
2016.0,يوليو,July,إنذارات,Warnings,Vehicles,المركبات,0.0
2016.0,فبراير,February,إنذارات,Warnings,Personal,الأفراد,23.0
2016.0,ابريل,April,إنذارات,Warnings,Personal,الأفراد,9.0
2016.0,مايو,May,إنذارات,Warnings,Personal,الأفراد,0.0
2016.0,سبتمبر,September,إنذارات,Warnings,Personal,الأفراد,2.0
2016.0,فبراير,February,مخالفات,Fines,Companies,الشركات,94.0
2016.0,مارس,March,مخالفات,Fines,Companies,الشركات,49.0
2016.0,يوليو,July,مخالفات,Fines,Companies,الشركات,34.0
2016.0,سبتمبر,September,مخالفات,Fines,Companies,الشركات,20.0
2016.0,اكتوبر,October,مخالفات,Fines,Companies,الشركات,29.0
